customer_id,customer_name,region,signup_date
1,Customer_1,East,2023-07-10
2,Customer_2,West,2023-09-10
3,Customer_3,North,2025-09-07
4,Customer_4,East,2025-07-16
5,Customer_5,East,2023-05-08
6,Customer_6,,2023-01-18
7,Customer_7,North,2024-07-19
8,Customer_8,North,2024-07-23
9,Customer_9,East,2024-11-16
10,Customer_10,South,2024-09-17
11,Customer_11,East,2025-05-03
12,Customer_12,East,2025-08-19
13,Customer_13,East,2023-06-04
14,Customer_14,East,2024-05-04
15,Customer_15,West,2025-02-23
16,Customer_16,North,2023-09-03
17,Customer_17,West,2025-11-28
18,Customer_18,West,2025-01-28
19,Customer_19,West,2024-06-21
20,Customer_20,East,2025-07-09
21,Customer_21,South,2024-02-12
22,Customer_22,North,2024-06-08
23,Customer_23,South,2025-04-07
24,Customer_24,West,2025-06-21
25,Customer_25,West,2023-02-05
26,Customer_26,South,2024-11-15
27,Customer_27,South,2023-01-20
28,Customer_28,South,2023-11-17
29,Customer_29,West,2024-05-26
30,Customer_30,West,2024-02-04
31,Customer_31,North,2024-10-15
32,Customer_32,North,2025-08-29
33,Customer_33,West,2024-04-15
34,Customer_34,South,2025-04-13
35,Customer_35,South,2024-12-27
36,Customer_36,North,2025-05-03
37,Customer_37,West,2023-02-20
38,Customer_38,North,2024-07-28
39,Customer_39,North,2023-05-30
40,Customer_40,East,2023-11-10
41,Customer_41,East,2024-07-23
42,Customer_42,East,2023-11-01
43,Customer_43,South,2024-11-12
44,Customer_44,West,2025-04-17
45,Customer_45,West,2025-12-13
46,Customer_46,West,2025-09-29
47,Customer_47,West,2024-03-19
48,Customer_48,East,2024-09-04
49,Customer_49,South,2025-09-19
50,Customer_50,South,2023-09-21
51,Customer_51,East,2025-12-12
52,Customer_52,South,2025-09-30
53,Customer_53,East,2023-01-05
54,Customer_54,West,2025-02-12
55,Customer_55,East,2025-05-26
56,Customer_56,West,2025-09-18
57,Customer_57,West,2025-06-02
58,Customer_58,North,2023-02-16
59,Customer_59,East,2025-05-16
60,Customer_60,North,2025-04-02
61,Customer_61,East,2025-07-24
62,Customer_62,East,2024-10-17
63,Customer_63,North,2023-09-26
64,Customer_64,North,2024-01-05
65,Customer_65,East,2024-09-27
66,Customer_66,South,2024-10-18
67,Customer_67,West,2023-04-30
68,Customer_68,North,2025-04-10
69,Customer_69,West,2025-12-17
70,Customer_70,South,2025-01-10
71,Customer_71,South,2023-04-27
72,Customer_72,South,2025-03-01
73,Customer_73,North,2025-10-09
74,Customer_74,South,2025-12-17
75,Customer_75,North,2024-09-25
76,Customer_76,South,2024-05-27
77,Customer_77,West,2025-03-12
78,Customer_78,West,2024-07-13
79,Customer_79,East,2024-05-02
80,Customer_80,West,2025-06-15
81,Customer_81,East,2024-12-04
82,Customer_82,West,2024-08-03
83,Customer_83,North,2025-02-28
84,Customer_84,West,2025-05-10
85,Customer_85,East,2023-09-04
86,Customer_86,East,2023-06-03
87,Customer_87,South,2025-09-23
88,Customer_88,North,2024-11-27
89,Customer_89,West,2025-12-28
90,Customer_90,South,2025-12-06
91,Customer_91,West,2025-10-05
92,Customer_92,West,2023-04-04
93,Customer_93,South,2025-08-15
94,Customer_94,South,2025-10-08
95,Customer_95,South,2024-03-28
96,Customer_96,South,2025-06-30
97,Customer_97,South,2023-08-06
98,Customer_98,West,2024-04-18
99,Customer_99,South,2024-03-07
100,Customer_100,North,2023-12-07
101,Customer_101,East,2024-07-04
102,Customer_102,South,2023-12-23
103,Customer_103,South,2023-01-23
104,Customer_104,West,2024-06-05
105,Customer_105,South,2025-03-12
106,Customer_106,South,2025-01-31
107,Customer_107,South,2024-03-17
108,Customer_108,West,2025-02-07
109,Customer_109,South,2025-10-12
110,Customer_110,East,2024-05-30
111,Customer_111,West,2025-11-05
112,Customer_112,East,2025-03-02
113,Customer_113,West,2023-12-02
114,Customer_114,South,2023-09-15
115,Customer_115,East,2024-05-11
116,Customer_116,West,2025-06-14
117,Customer_117,North,2023-06-09
118,Customer_118,South,2025-05-01
119,Customer_119,West,2024-11-20
120,Customer_120,North,2024-01-15
121,Customer_121,West,2025-08-14
122,Customer_122,North,2024-11-21
123,Customer_123,South,2025-12-02
124,Customer_124,East,2023-10-12
125,Customer_125,North,2024-02-01
126,Customer_126,West,2023-01-12
127,Customer_127,South,2024-05-13
128,Customer_128,North,2025-01-23
129,Customer_129,West,2023-02-04
130,Customer_130,West,2024-12-27
131,Customer_131,West,2025-04-28
132,Customer_132,North,2023-03-31
133,Customer_133,North,2025-02-14
134,Customer_134,North,2024-08-27
135,Customer_135,East,2025-08-27
136,Customer_136,North,2025-10-18
137,Customer_137,North,2024-02-22
138,Customer_138,North,2023-04-25
139,Customer_139,East,2024-09-08
140,Customer_140,North,2025-04-05
141,Customer_141,West,2024-02-17
142,Customer_142,North,2024-12-29
143,Customer_143,West,2025-10-17
144,Customer_144,West,2025-01-30
145,Customer_145,West,2024-11-06
146,Customer_146,East,2024-04-01
147,Customer_147,East,2025-07-08
148,Customer_148,East,2023-07-11
149,Customer_149,North,2025-01-08
150,Customer_150,West,2025-09-04
151,Customer_151,East,2025-10-05
152,Customer_152,East,2023-04-06
153,Customer_153,North,2024-10-24
154,Customer_154,East,2023-02-06
155,Customer_155,North,2023-10-06
156,Customer_156,South,2023-08-05
157,Customer_157,East,2025-05-16
158,Customer_158,South,2025-05-22
159,Customer_159,North,2023-03-03
160,Customer_160,West,2024-08-18
161,Customer_161,East,2024-12-29
162,Customer_162,North,2024-02-01
163,Customer_163,West,2024-11-29
164,Customer_164,West,2025-11-08
165,Customer_165,South,2023-06-26
166,Customer_166,North,2024-01-31
167,Customer_167,West,2024-03-20
168,Customer_168,East,2023-03-17
169,Customer_169,East,2023-09-22
170,Customer_170,South,2024-03-30
171,Customer_171,West,2024-12-18
172,Customer_172,North,2025-01-04
173,Customer_173,East,2025-04-30
174,Customer_174,West,2023-05-24
175,Customer_175,West,2025-06-03
176,Customer_176,South,2025-12-28
177,Customer_177,East,2024-01-31
178,Customer_178,East,2025-11-14
179,Customer_179,North,2025-08-05
180,Customer_180,East,2025-06-09
181,Customer_181,North,2024-07-22
182,Customer_182,East,2025-11-28
183,Customer_183,South,2023-04-19
184,Customer_184,East,2025-12-01
185,Customer_185,North,2025-07-23
186,Customer_186,North,2024-02-02
187,Customer_187,South,2024-09-25
188,Customer_188,East,2025-01-02
189,Customer_189,East,2023-08-23
190,Customer_190,South,2024-10-19
191,Customer_191,East,2025-01-20
192,Customer_192,East,2024-08-10
193,Customer_193,North,2025-10-29
194,Customer_194,East,2025-08-11
195,Customer_195,East,2024-05-06
196,Customer_196,South,2025-07-01
197,Customer_197,South,2023-06-19
198,Customer_198,West,2025-08-03
199,Customer_199,North,2025-03-05
200,Customer_200,East,2024-09-25
201,Customer_201,East,2023-01-29
202,Customer_202,West,2023-12-05
203,Customer_203,East,2024-05-14
204,Customer_204,North,2024-05-25
205,Customer_205,West,2023-08-05
206,Customer_206,North,2025-12-29
207,Customer_207,West,2024-03-20
208,Customer_208,West,2025-05-25
209,Customer_209,South,2023-06-16
210,Customer_210,North,2023-04-01
211,Customer_211,East,2024-12-14
212,Customer_212,East,2023-02-08
213,Customer_213,North,2023-06-22
214,Customer_214,East,2024-10-14
215,Customer_215,East,2025-01-23
216,Customer_216,North,2025-12-17
217,Customer_217,West,2024-04-20
218,Customer_218,North,2024-03-31
219,Customer_219,West,2025-04-08
220,Customer_220,East,2025-06-13
221,Customer_221,East,2025-10-21
222,Customer_222,East,2024-01-22
223,Customer_223,South,2023-12-14
224,Customer_224,West,2023-07-09
225,Customer_225,South,2024-05-19
226,Customer_226,South,2025-04-03
227,Customer_227,North,2025-07-17
228,Customer_228,South,2025-07-22
229,Customer_229,North,2023-05-14
230,Customer_230,North,2023-02-27
231,Customer_231,South,2024-11-15
232,Customer_232,West,2024-11-02
233,Customer_233,West,2023-06-22
234,Customer_234,West,2025-03-25
235,Customer_235,West,2023-03-21
236,Customer_236,West,2025-06-04
237,Customer_237,South,2023-07-22
238,Customer_238,South,2025-02-02
239,Customer_239,East,2023-02-16
240,Customer_240,West,2024-10-17
241,Customer_241,South,2024-04-15
242,Customer_242,East,2025-08-28
243,Customer_243,West,2025-11-01
244,Customer_244,North,2025-01-05
245,Customer_245,East,2025-02-22
246,Customer_246,South,2025-08-25
247,Customer_247,North,2023-12-24
248,Customer_248,North,2025-08-29
249,Customer_249,North,2024-10-29
250,Customer_250,East,2024-01-08
251,Customer_251,South,2025-10-28
252,Customer_252,North,2024-11-06
253,Customer_253,West,2023-03-31
254,Customer_254,North,2024-11-28
255,Customer_255,North,2024-06-23
256,Customer_256,East,2025-01-01
257,Customer_257,East,2025-05-18
258,Customer_258,South,2023-02-10
259,Customer_259,West,2025-01-09
260,Customer_260,East,2024-05-16
261,Customer_261,North,2025-08-16
262,Customer_262,South,2025-07-17
263,Customer_263,North,2024-04-05
264,Customer_264,North,2025-01-01
265,Customer_265,East,2025-01-21
266,Customer_266,South,2025-07-13
267,Customer_267,West,2025-06-27
268,Customer_268,West,2024-01-25
269,Customer_269,East,2025-06-01
270,Customer_270,East,2023-09-13
271,Customer_271,South,2024-12-09
272,Customer_272,West,2024-03-25
273,Customer_273,West,2023-01-10
274,Customer_274,West,2025-04-03
275,Customer_275,North,2025-03-08
276,Customer_276,West,2025-05-26
277,Customer_277,North,2025-10-25
278,Customer_278,South,2025-10-12
279,Customer_279,North,2024-01-09
280,Customer_280,South,2025-12-24
281,Customer_281,West,2023-05-26
282,Customer_282,West,2023-08-12
283,Customer_283,South,2023-06-26
284,Customer_284,East,2025-05-02
285,Customer_285,South,2023-03-04
286,Customer_286,East,2025-04-06
287,Customer_287,North,2025-03-05
288,Customer_288,North,2024-11-19
289,Customer_289,North,2023-04-15
290,Customer_290,West,2024-05-25
291,Customer_291,North,2024-01-20
292,Customer_292,East,2024-02-09
293,Customer_293,North,2025-04-02
294,Customer_294,South,2024-06-01
295,Customer_295,South,2024-04-20
296,Customer_296,West,2024-12-09
297,Customer_297,South,2025-02-09
298,Customer_298,East,2025-11-12
299,Customer_299,North,2025-09-23
300,Customer_300,West,2024-11-07
301,Customer_301,North,2024-12-14
302,Customer_302,North,2023-03-24
303,Customer_303,East,2024-04-01
304,Customer_304,South,2023-01-01
305,Customer_305,South,2023-02-20
306,Customer_306,North,2024-11-15
307,Customer_307,West,2024-12-17
308,Customer_308,South,2024-03-24
309,Customer_309,West,2025-05-30
310,Customer_310,South,2024-05-02
311,Customer_311,West,2023-02-03
312,Customer_312,East,2023-04-05
313,Customer_313,West,2025-12-31
314,Customer_314,East,2023-06-03
315,Customer_315,East,2023-09-07
316,Customer_316,West,2024-11-04
317,Customer_317,East,2024-03-13
318,Customer_318,North,2023-04-28
319,Customer_319,East,2025-02-09
320,Customer_320,South,2023-09-25
321,Customer_321,West,2025-12-13
